IPRESS,VACUNADOS,META,AVANCE,MINIMO,MAXIMO,,,,,,,,,,,
KAMISEA,8,25,32,0,100,,,,,,,,,,,
KITENI,18,43,41.86046512,0,100,,,,,,,,,,,
MARANURA,47,36,130.5555556,0,100,,,,,,,,,,,
PALMA REAL,10,31,32.25806452,0,100,,,,,,,,,,,
PAVAYOC,16,21,76.19047619,0,100,,,,,,,,,,,
PUCYURA,14,31,45.16129032,0,100,,,,,,,,,,,
QUELLOUNO,17,30,56.66666667,0,100,,,,,,,,,,,
SANTA ANA,55,85,64.70588235,0,100,,,,,,,,,,,
SANTA TERESA,14,27,51.85185185,0,100,,,,,,,,,,,
